Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,,,,,,,,,,
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,
0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,,,,,,,,,,
0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,,,,,,,,,,
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,,,,,,,,
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,
0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,,,,,,,,,,
0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,,,,,,,,
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,,,,,,,,,,
1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,,,,,,,,,,
1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,,,,,,,,,,
1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,,,,,,,,,,
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,,,,,,,,,,
1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,,,,,,,,,,
1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,,,,,,,,,,
1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,,,,,,,,,,
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,
1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,,,,
1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,,,,,,,,,,
1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,,,,,,,,,,
1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,,,,,,,,,,
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,
1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,,,,,,,,,,
1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,,,,,,,,,,
1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,,,,,,,,,,
1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,,,,,,,,,,
1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,,,,,,,,,,
1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,,,,,,,,,,
1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,,,,,,,,,,
1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,,,,,,,,,,
1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,,,,,,,,,,
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,,,,,,,,,,
1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,,,,,,,,
1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,,,,,,,,,,
1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,,,,,,,,,,
1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,,,,,,,,
1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,,,,,,,,,,
1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,,,,,,,,,,
1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,,,,,,,,,,
1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,,,,,,,,,,
1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,,,,,,,
1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,,,,,,,,,,
1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,,,,,,,,,,
1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,,,,,,,,,
1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,,,,,,,,,,
1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,,,,,,,,,
1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,,,,,,,,,,
1.84,,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,,,,,,,,,,
1.86,,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,,,,,,,,,,
1.88,,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,,,,,,,,,,
1.9,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,
1.92,,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,,,,,,,,,,
1.94,,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,,,,,,,,,,
1.96,,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,,,,,,,,,,
1.98,,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,,,,,,,,,,
2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,
2.02,,2.02,2.02,,2.02,2.02,2.02,2.02,2.02,,,,,,,,,,
2.04,,2.04,2.04,,2.04,2.04,2.04,2.04,2.04,,,,,,,,,,
2.06,,2.06,2.06,,2.06,2.06,2.06,2.06,2.06,,,,,,,,,,
2.08,,2.08,2.08,,2.08,2.08,2.08,2.08,2.08,,,,,,,,,,
2.1,,,2.1,,2.1,2.1,2.1,2.1,2.1,,,,,,,,,,
2.12,,,2.12,,2.12,2.12,2.12,2.12,2.12,,,,,,,,,,
2.14,,,2.14,,2.14,2.14,2.14,2.14,2.14,,,,,,,,,,
2.16,,,,,2.16,2.16,2.16,2.16,2.16,,,,,,,,,,
2.18,,,,,2.18,2.18,,2.18,2.18,,,,,,,,,,
2.2,,,,,2.2,2.2,,2.2,2.2,,,,,,,,,,
2.22,,,,,2.22,2.22,,2.22,2.22,,,,,,,,,,
2.24,,,,,2.24,2.24,,2.24,2.24,,,,,,,,,,
2.26,,,,,2.26,2.26,,2.26,2.26,,,,,,,,,,
2.28,,,,,2.28,2.28,,2.28,2.28,,,,,,,,,,
2.3,,,,,2.3,2.3,,,2.3,,,,,,,,,,
2.32,,,,,2.32,2.32,,,2.32,,,,,,,,,,
2.34,,,,,2.34,2.34,,,2.34,,,,,,,,,,
2.36,,,,,2.36,2.36,,,2.36,,,,,,,,,,
2.38,,,,,2.38,2.38,,,2.38,,,,,,,,,,
2.4,,,,,2.4,2.4,,,2.4,,,,,,,,,,
2.42,,,,,2.42,2.42,,,2.42,,,,,,,,,,
2.44,,,,,2.44,2.44,,,2.44,,,,,,,,,,
2.46,,,,,2.46,2.46,,,2.46,,,,,,,,,,
2.48,,,,,2.48,2.48,,,2.48,,,,,,,,,,
2.5,,,,,2.5,2.5,,,,,,,,,,,,,
2.52,,,,,2.52,2.52,,,,,,,,,,,,,
2.54,,,,,2.54,2.54,,,,,,,,,,,,,
2.56,,,,,,2.56,,,,,,,,,,,,,
2.58,,,,,,2.58,,,,,,,,,,,,,
2.6,,,,,,2.6,,,,,,,,,,,,,
2.62,,,,,,2.62,,,,,,,,,,,,,
2.64,,,,,,2.64,,,,,,,,,,,,,
2.66,,,,,,2.66,,,,,,,,,,,,,
2.68,,,,,,2.68,,,,,,,,,,,,,
2.7,,,,,,2.7,,,,,,,,,,,,,
2.72,,,,,,2.72,,,,,,,,,,,,,
2.74,,,,,,2.74,,,,,,,,,,,,,
2.76,,,,,,2.76,,,,,,,,,,,,,
2.78,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,,,,
2.82,,,,,,,,,,,,,,,,,,,
2.84,,,,,,,,,,,,,,,,,,,
2.86,,,,,,,,,,,,,,,,,,,
2.88,,,,,,,,,,,,,,,,,,,
2.9,,,,,,,,,,,,,,,,,,,
2.92,,,,,,,,,,,,,,,,,,,
2.94,,,,,,,,,,,,,,,,,,,
2.96,,,,,,,,,,,,,,,,,,,
2.98,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.02,,,,,,,,,,,,,,,,,,,
3.04,,,,,,,,,,,,,,,,,,,
3.06,,,,,,,,,,,,,,,,,,,
3.08,,,,,,,,,,,,,,,,,,,
3.1,,,,,,,,,,,,,,,,,,,
3.12,,,,,,,,,,,,,,,,,,,
3.14,,,,,,,,,,,,,,,,,,,
3.16,,,,,,,,,,,,,,,,,,,
3.18,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,
3.22,,,,,,,,,,,,,,,,,,,
